procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        64008      3016980        20140       767496    0    0     0 302596 8068 4999   1   2  96   0   0 2018-11-21 02:05:26
 0  0        64008      3017004        20140       767496    0    0     0 298795 7764 4927   1   2  97   0   0 2018-11-21 02:05:29
 0  0        64008      3016872        20148       767496    0    0     0 297775 8057 4954   1   2  97   0   0 2018-11-21 02:05:32
 1  0        64008      3016924        20148       767496    0    0     0 298232 10191 4940   1   3  96   0   0 2018-11-21 02:05:35
 0  0        64008      3016916        20156       767496    0    0     0 300336 7295 4953   1   2  96   0   0 2018-11-21 02:05:38
 0  0        64008      3016932        20156       767500    0    0     0 299573 7924 4962   1   2  96   0   0 2018-11-21 02:05:41
 0  0        64008      3016924        20164       767500    0    0     0 299416 7251 4906   1   2  97   0   0 2018-11-21 02:05:44
 0  0        64008      3016000        20164       767504    0    0     0 297643 8074 4899   1   2  97   0   0 2018-11-21 02:05:47
 1  0        64008      3016288        20172       767508    0    0     0 298543 8231 4915   2   2  96   0   0 2018-11-21 02:05:50
 0  0        64008      3016288        20172       767508    0    0     0 299605 7401 4918   1   2  97   0   0 2018-11-21 02:05:53
 0  0        64008      3016048        20180       767512    0    0     0 300121 6883 4891   2   2  96   0   0 2018-11-21 02:05:56
 0  0        64008      3016048        20180       767512    0    0     0 298325 7695 4934   1   2  97   0   0 2018-11-21 02:05:59
 0  0        64008      3016560        20188       767516    0    0     0 303449 7974 5055   2   2  96   0   0 2018-11-21 02:06:02
 0  0        64008      3016196        20188       767516    0    0     0 295637 7862 4889   2   2  96   0   0 2018-11-21 02:06:05
 0  0        64008      3016124        20196       767516    0    0     0 302008 7892 5002   2   2  97   0   0 2018-11-21 02:06:08
 1  0        64008      3016684        20196       767516    0    0     0 298411 7926 4997   2   2  96   0   0 2018-11-21 02:06:11
 0  0        64008      3016780        20204       767520    0    0     0 297916 7690 4957   1   2  97   0   0 2018-11-21 02:06:14
 0  0        64008      3017104        20204       767520    0    0     0 298581 7511 4942   2   2  96   0   0 2018-11-21 02:06:17
 0  0        64008      3017468        20212       767520    0    0     0 299765 7957 4966   2   2  96   0   0 2018-11-21 02:06:20
 1  0        64008      3017524        20212       767520    0    0     0 302037 7567 4975   1   2  97   0   0 2018-11-21 02:06:23
 0  0        64008      3017292        20220       767524    0    0     0 299737 7544 4986   2   3  96   0   0 2018-11-21 02:06:26
 0  0        64008      3017260        20220       767528    0    0     0 299989 7733 4978   1   2  97   0   0 2018-11-21 02:06:29
 1  0        64008      3017408        20228       767528    0    0     0 299183 7959 4955   1   2  96   0   0 2018-11-21 02:06:32
 0  0        64008      3017156        20228       767528    0    0     0 300045 9735 4968   1   2  96   0   0 2018-11-21 02:06:35
 0  0        64008      3017276        20236       767528    0    0     0 297819 7276 4922   1   2  97   0   0 2018-11-21 02:06:38
 0  0        64008      3017176        20236       767528    0    0     0 299221 7467 4958   1   2  96   0   0 2018-11-21 02:06:41
 2  0        64008      3017200        20244       767536    0    0     0 300719 7910 4959   1   2  96   0   0 2018-11-21 02:06:44
 1  0        64008      3017152        20244       767536    0    0     0 297344 7439 4933   2   3  96   0   0 2018-11-21 02:06:47
 0  0        64008      3016588        20252       767536    0    0     0 299876 7837 4941   2   2  96   0   0 2018-11-21 02:06:50
 1  0        64008      3016596        20252       767536    0    0     0 299392 7052 4954   1   2  97   0   0 2018-11-21 02:06:53
 0  0        64008      3017308        20260       767536    0    0     0 294127 7969 4878   2   2  96   0   0 2018-11-21 02:06:56
 0  0        64008      3017300        20260       767540    0    0     0 300245 7950 4979   2   2  96   0   0 2018-11-21 02:06:59
 0  0        63996      3016268        20268       767796    1    0    67 295300 8137 4953   2   2  96   0   0 2018-11-21 02:07:02
 0  0        63996      3016572        20268       767784    0    0     0 298112 7634 4929   2   2  96   0   0 2018-11-21 02:07:05
 0  0        63996      3016572        20276       767784    0    0     0 294968 6879 4867   1   2  96   0   0 2018-11-21 02:07:08
 0  0        63996      3016440        20276       767784    0    0     0 295595 7047 4918   2   2  96   0   0 2018-11-21 02:07:11
 0  0        63996      3016384        20284       767784    0    0     0 295471 7852 4907   2   2  95   0   0 2018-11-21 02:07:14
 1  0        63996      3016276        20284       767788    0    0     0 296832 7571 4925   1   2  96   0   0 2018-11-21 02:07:17
 0  0        63996      3016616        20292       767788    0    0     0 297220 7381 4903   2   3  96   0   0 2018-11-21 02:07:20
 1  0        63996      3016632        20292       767792    0    0     0 296619 7759 4896   1   2  97   0   0 2018-11-21 02:07:23
 2  0        63996      3016624        20300       767796    0    0     0 297145 8422 4917   1   2  96   0   0 2018-11-21 02:07:26
 1  0        63996      3016672        20300       767796    0    0     0 296107 7781 4905   1   2  97   0   0 2018-11-21 02:07:29
 0  0        63996      3016532        20308       767800    0    0     0 299449 8024 5014   1   2  97   0   0 2018-11-21 02:07:32
 0  0        63996      3017096        20308       767800    0    0     0 296999 10183 4969   2   2  96   0   0 2018-11-21 02:07:35
 0  0        63996      3017112        20316       767800    0    0     0 302725 7994 5019   2   2  97   0   0 2018-11-21 02:07:38
 0  0        63996      3016972        20316       767800    0    0     0 298581 7618 4965   2   2  97   0   0 2018-11-21 02:07:41
 1  0        63996      3016964        20324       767804    0    0     0 301657 7556 4995   1   2  97   0   0 2018-11-21 02:07:44
 0  0        63996      3016040        20324       767808    0    0     0 299947 7084 4961   2   2  96   0   0 2018-11-21 02:07:47
 0  0        63996      3016016        20332       767808    0    0     0 297988 7158 4883   2   2  96   0   0 2018-11-21 02:07:50
 0  0        63996      3016048        20332       767808    0    0     0 297387 7206 4930   1   2  97   0   0 2018-11-21 02:07:53
 0  0        63996      3015844        20340       767808    0    0     0 294959 7865 4888   1   2  97   0   0 2018-11-21 02:07:56
 0  0        63996      3015852        20340       767808    0    0     0 295221 7962 4869   1   2  97   0   0 2018-11-21 02:07:59
 0  0        63996      3015464        20348       768008    0    0    65 295693 7995 4896   1   3  96   0   0 2018-11-21 02:08:02
 1  0        63996      3015456        20348       768012    0    0     0 296789 7818 4899   2   2  96   0   0 2018-11-21 02:08:05
 0  0        63996      3015472        20356       768012    0    0     0 294371 7949 4842   1   2  96   0   0 2018-11-21 02:08:08
 0  0        63996      3015696        20356       768012    0    0     0 297151 8269 4956   2   2  96   0   0 2018-11-21 02:08:11
 0  0        63996      3015720        20364       768012    0    0     0 301529 8141 4963   2   2  96   0   0 2018-11-21 02:08:14
 1  0        63996      3015728        20364       768012    0    0     0 296747 7855 4938   2   2  96   0   0 2018-11-21 02:08:17
 2  0        63996      3016300        20372       768016    0    0     0 293508 8018 4896   1   2  96   0   0 2018-11-21 02:08:20
 0  0        63996      3016316        20372       768020    0    0     0 297472 7858 4925   1   2  97   0   0 2018-11-21 02:08:23
 0  0        63996      3016092        20380       768020    0    0     0 294319 7825 4854   1   2  96   0   0 2018-11-21 02:08:26
 1  0        63996      3016092        20380       768020    0    0     0 299051 7824 4925   1   2  97   0   0 2018-11-21 02:08:29
 0  0        63996      3015736        20388       768020    0    0     0 294489 8025 4876   1   2  97   0   0 2018-11-21 02:08:32
 1  0        63996      3015752        20388       768024    0    0     0 298224 9712 4965   1   2  97   0   0 2018-11-21 02:08:35
 0  0        63996      3015752        20396       768024    0    0     0 300856 8140 4978   1   2  97   0   0 2018-11-21 02:08:38
 0  0        63996      3015736        20396       768024    0    0     0 298539 8425 4954   2   2  96   0   0 2018-11-21 02:08:41
 0  0        63996      3015744        20404       768024    0    0     0 300728 8099 4947   1   2  97   0   0 2018-11-21 02:08:44
 0  0        63996      3015188        20404       768028    0    0     0 297088 7781 4921   1   2  97   0   0 2018-11-21 02:08:47
 1  0        63996      3015376        20412       768032    0    0     0 299268 7954 4945   2   2  96   0   0 2018-11-21 02:08:50
 0  0        63996      3015376        20412       768032    0    0     0 297173 7734 4874   1   2  97   0   0 2018-11-21 02:08:53
 0  0        63996      3015212        20420       768036    0    0     0 297860 7979 4938   1   2  97   0   0 2018-11-21 02:08:56
 0  0        63996      3015228        20420       768036    0    0     0 300416 7893 4973   1   2  97   0   0 2018-11-21 02:08:59
 0  0        63996      3015412        20444       768128    1    0    29 299415 8707 4999   1   3  96   0   0 2018-11-21 02:09:02
 0  0        63996      3015388        20444       768128    0    0     0 298965 7947 4986   2   2  96   0   0 2018-11-21 02:09:05
 0  0        63996      3015388        20452       768132    0    0     0 299235 8146 4959   2   2  96   0   0 2018-11-21 02:09:08
 0  0        63996      3015552        20452       768132    0    0     0 300728 8280 5001   2   2  96   0   0 2018-11-21 02:09:11
 0  0        63996      3015568        20460       768132    0    0     0 298724 7893 4923   1   2  97   0   0 2018-11-21 02:09:14
 0  0        63996      3015616        20460       768132    0    0     0 300331 7948 4963   1   2  96   0   0 2018-11-21 02:09:17
 0  0        63996      3015708        20468       768132    0    0     0 301423 8563 5013   1   3  96   0   0 2018-11-21 02:09:20
 2  0        63996      3015724        20468       768136    0    0     0 300331 7796 4946   1   2  97   0   0 2018-11-21 02:09:23
 0  0        63996      3015840        20476       768140    0    0     0 296751 8446 4918   1   3  96   0   0 2018-11-21 02:09:26
 0  0        63996      3015848        20476       768140    0    0     0 299093 7830 4945   1   2  97   0   0 2018-11-21 02:09:29
 0  0        63996      3015956        20484       768140    0    0     0 300719 8376 5020   1   2  97   0   0 2018-11-21 02:09:32
 0  0        63996      3016172        20484       768140    0    0     0 298339 9124 4989   2   2  97   0   0 2018-11-21 02:09:35
 0  0        63996      3016140        20492       768144    0    0     0 297093 7973 4925   1   2  97   0   0 2018-11-21 02:09:38
 0  0        63996      3015568        20492       768148    0    0     0 298496 7889 4979   2   2  97   0   0 2018-11-21 02:09:41
 0  0        63996      3015592        20500       768148    0    0     0 297487 8190 4925   1   2  97   0   0 2018-11-21 02:09:44
 0  0        63996      3016080        20500       768148    0    0     0 303317 8063 5047   1   2  97   0   0 2018-11-21 02:09:47
 1  0        63996      3016536        20508       768148    0    0     0 298637 8110 4968   1   2  96   0   0 2018-11-21 02:09:50
 0  0        63996      3016568        20508       768152    0    0     0 300928 7849 4974   1   2  97   0   0 2018-11-21 02:09:53
 0  0        63996      3015956        20516       768152    0    0     0 301103 8022 4996   2   2  96   0   0 2018-11-21 02:09:56
 0  0        63996      3015980        20516       768152    0    0     0 301365 8226 4996   2   2  96   0   0 2018-11-21 02:09:59
 0  0        63996      3015504        20524       768432    0    0    93 300804 8158 5009   2   2  96   0   0 2018-11-21 02:10:02
 0  0        63996      3015552        20524       768432    0    0     0 301141 7942 4954   1   3  96   0   0 2018-11-21 02:10:05
 0  0        63996      3015544        20532       768436    0    0     0 302093 8054 4990   1   2  97   0   0 2018-11-21 02:10:08
 0  0        63996      3016180        20532       768440    0    0     0 229333 5884 3778   1   2  97   0   0 2018-11-21 02:10:11
 1  0        63996      3016180        20540       768440    0    0     0 252591 6590 4131   1   2  97   0   0 2018-11-21 02:10:14
 0  0        63996      3016156        20540       768440    0    0     0 297131 7803 4911   1   2  97   0   0 2018-11-21 02:10:17
 0  0        63996      3015576        20548       768444    0    0     0 299576 8062 4925   1   2  97   0   0 2018-11-21 02:10:20
 0  0        63996      3015560        20548       768444    0    0     0 300032 7843 4938   1   2  97   0   0 2018-11-21 02:10:23
 1  0        63996      3014984        20556       768448    0    0     0 302092 8433 5013   2   2  96   0   0 2018-11-21 02:10:26
