seconds,non-idle (%),utilization (%),
2367,99.66833333333334,99.66833333333334,
2370,99.16666666666667,99.16666666666667,
2373,99.38833333333334,99.38833333333334,
2376,99.5,99.5,
2379,99.33666666666667,99.33666666666667,
2382,99.44666666666667,99.39,
2385,99.61166666666666,99.61166666666666,
2388,99.78,99.78,
2391,99.61166666666666,99.61166666666666,
2394,99.55666666666667,99.55666666666667,
2397,99.22333333333333,99.22333333333333,
2400,99.50166666666667,99.50166666666667,
2403,99.22333333333333,99.22333333333333,
2406,99.61166666666666,99.61166666666666,
2409,99.22333333333333,99.22333333333333,
2412,99.55833333333334,99.50333333333333,
2415,99.49666666666667,99.49666666666667,
2418,99.22333333333333,99.22333333333333,
2421,99.16833333333334,99.16833333333334,
2424,98.945,98.945,
2427,99.38833333333334,99.38833333333334,
2430,99.335,99.335,
2433,99.555,99.555,
2436,99.50166666666667,99.50166666666667,
2439,99.61,99.61,
2442,99.16666666666667,99.16666666666667,
2445,99.28,99.28,
2448,99.44666666666667,99.44666666666667,
2451,99.38833333333334,99.38833333333334,
2454,99.55666666666667,99.55666666666667,
2457,99.445,99.335,
2460,99.38833333333334,99.38833333333334,
2463,99.72166666666666,99.72166666666666,
2466,99.33333333333333,99.33333333333333,
2469,99.11166666666666,99.11166666666666,
2472,98.94333333333333,98.94333333333333,
2475,99.50166666666667,99.50166666666667,
2478,99.22,99.22,
2481,99.16666666666667,99.11166666666666,
2484,99.55666666666667,99.55666666666667,
2487,99.66666666666667,99.66666666666667,
2490,99.66833333333334,99.66833333333334,
2493,99.05833333333334,99.05833333333334,
2496,99.165,99.165,
2499,98.72,98.72,
2502,99.33333333333333,99.33333333333333,
2505,99.44333333333333,99.38833333333332,
2508,99.33333333333333,99.33333333333333,
2511,99.55666666666667,99.50166666666667,
2514,98.94666666666667,98.94666666666667,
2517,99.39,99.39,
2520,99.27666666666667,99.27666666666667,
2523,99.055,99.055,
2526,99.445,99.445,
2529,99.61333333333333,99.55833333333332,
2532,99.67,99.67,
2535,99.445,99.445,
2538,99.39,99.39,
2541,98.94333333333333,98.94333333333333,
2544,99.28,99.28,
2547,99.445,99.445,
2550,98.77333333333334,98.71833333333333,
2553,99.61333333333333,99.55833333333332,
2556,99.33166666666666,99.33166666666666,
2559,99.28166666666667,99.28166666666667,
2562,99.27833333333334,99.27833333333334,
2565,99.5,99.5,
2568,98.945,98.945,
2571,99.22333333333333,99.22333333333333,
2574,99.33333333333333,99.33333333333333,
2577,99.27666666666667,99.27666666666667,
2580,99.33333333333333,99.33333333333333,
2583,99.11,99.11,
2586,99.44333333333333,99.44333333333333,
2589,99.05666666666667,99.05666666666667,
2592,99.38666666666667,99.38666666666667,
2595,99.445,99.445,
2598,99.55666666666667,99.55666666666667,
2601,99.55833333333334,99.50333333333333,
2604,99.39,99.39,
2607,99.66833333333334,99.66833333333334,
2610,98.66666666666667,98.55666666666667,
2613,99.05666666666667,99.05666666666667,
2616,99.38833333333334,99.38833333333334,
2619,99.61,99.61,
2622,99.33333333333333,99.33333333333333,
2625,99.50166666666667,99.50166666666667,
2628,99.835,99.835,
2631,99.33333333333333,99.33333333333333,
2634,99.78,99.78,
2637,99.335,99.335,
2640,99.33333333333333,99.33333333333333,
2643,99.38833333333334,99.38833333333334,
2646,99.27833333333334,99.27833333333334,
2649,99.39,99.335,
2652,99.835,99.77999999999999,
2655,99.61333333333333,99.61333333333333,
2658,98.99833333333333,98.99833333333333,
2661,99.16666666666667,99.16666666666667,
2664,99.22333333333333,99.22333333333333,
2667,99.16833333333334,99.16833333333334,
2670,98.945,98.945,
2673,99.44333333333333,99.44333333333333,
2676,99.50333333333333,99.44833333333332,
2679,99.66666666666667,99.66666666666667,
2682,99.27666666666667,99.27666666666667,
2685,99.22166666666666,99.22166666666666,
2688,99.27833333333334,99.27833333333334,
2691,99.33333333333333,99.33333333333333,
2694,99.33333333333333,99.33333333333333,
2697,99.445,99.38999999999999,
2700,99.66666666666667,99.66666666666667,
2703,99.44666666666667,99.44666666666667,
2706,99.33666666666667,99.33666666666667,
2709,99.66666666666667,99.66666666666667,
2712,98.94666666666667,98.94666666666667,
2715,99.27666666666667,99.27666666666667,
2718,99.11166666666666,99.11166666666666,
2721,99.22166666666666,99.16666666666666,
2724,99.44333333333333,99.44333333333333,
2727,99.50166666666667,99.50166666666667,
2730,99.50166666666667,99.50166666666667,
2733,99.22333333333333,99.22333333333333,
2736,99.5,99.5,
2739,98.77833333333334,98.77833333333334,
2742,99.33333333333333,99.33333333333333,
2745,99.05333333333333,98.99833333333332,
2748,99.335,99.335,
2751,100.0,100.0,
2754,99.275,99.275,
2757,99.38833333333334,99.38833333333334,
2760,99.38833333333334,99.38833333333334,
2763,99.39,99.39,
2766,99.555,99.555,
2769,99.28,99.17,
2772,99.72333333333333,99.72333333333333,
2775,99.72333333333333,99.72333333333333,
2778,99.445,99.445,
2781,99.55666666666667,99.55666666666667,
2784,99.5,99.5,
2787,99.27833333333334,99.27833333333334,
2790,99.22166666666666,99.22166666666666,
2793,99.55666666666667,99.55666666666667,
2796,99.61166666666666,99.61166666666666,
2799,99.445,99.445,
2802,99.49833333333333,99.49833333333333,
2805,99.16833333333334,99.16833333333334,
2808,99.55666666666667,99.55666666666667,
2811,99.5,99.5,
2814,99.67,99.67,
2817,99.335,99.335,
2820,99.38833333333334,99.38833333333334,
2823,99.55666666666667,99.55666666666667,
2826,99.445,99.445,
2829,99.16666666666667,99.16666666666667,
2832,99.61,99.61,
2835,99.44333333333333,99.44333333333333,
2838,99.67,99.67,
2841,99.33333333333333,99.33333333333333,
2844,99.72166666666666,99.66666666666666,
2847,99.61333333333333,99.61333333333333,
2850,99.5,99.5,
2853,99.335,99.335,
2856,99.27833333333334,99.27833333333334,
2859,99.835,99.835,
2862,99.16833333333334,99.16833333333334,
2865,99.16833333333334,99.16833333333334,
2868,99.555,99.555,
2871,99.555,99.555,
2874,99.55833333333334,99.55833333333334,
2877,99.44666666666667,99.44666666666667,
2880,99.5,99.5,
2883,99.44333333333333,99.44333333333333,
2886,99.055,99.055,
2889,99.61,99.61,
2892,99.33333333333333,99.27833333333332,
2895,99.56,99.56,
2898,99.38833333333334,99.38833333333334,
2901,99.44666666666667,99.44666666666667,
2904,99.00166666666667,99.00166666666667,
2907,99.445,99.445,
2910,99.39,99.39,
2913,99.44666666666667,99.44666666666667,
2916,99.55666666666667,99.50166666666667,
2919,99.55666666666667,99.55666666666667,
2922,99.66666666666667,99.66666666666667,
2925,99.445,99.445,
2928,99.39,99.39,
2931,99.38666666666667,99.38666666666667,
2934,99.225,99.225,
2937,99.55666666666667,99.55666666666667,
2940,99.67,99.67,
2943,99.335,99.335,
2946,99.39,99.39,
2949,99.50333333333333,99.44833333333332,
2952,98.77333333333334,98.77333333333334,
2955,98.94666666666667,98.94666666666667,
2958,99.44333333333333,99.44333333333333,
2961,99.61333333333333,99.61333333333333,
2964,99.66833333333334,99.66833333333334,
2967,99.725,99.725,
2970,99.27833333333334,99.27833333333334,
2973,99.22166666666666,99.22166666666666,
2976,99.72333333333333,99.72333333333333,
2979,99.22333333333333,99.22333333333333,
2982,99.335,99.335,
2985,99.725,99.725,
2988,99.16666666666667,99.11166666666666,
2991,99.39,99.39,
2994,99.66833333333334,99.66833333333334,
2997,99.44666666666667,99.44666666666667,
3000,99.11166666666666,99.11166666666666,
3003,99.27833333333334,99.27833333333334,
3006,99.11333333333333,99.11333333333333,
3009,99.33333333333333,99.33333333333333,
3012,99.66666666666667,99.66666666666667,
3015,99.445,99.445,
3018,99.61,99.61,
3021,99.11333333333333,99.11333333333333,
3024,99.0,99.0,
3027,99.27833333333334,99.27833333333334,
3030,99.335,99.335,
3033,99.16666666666667,99.16666666666667,
3036,99.55333333333333,99.55333333333333,
3039,99.39166666666667,99.28166666666667,
3042,99.335,99.335,
3045,98.775,98.775,
3048,99.61333333333333,99.61333333333333,
3051,99.50166666666667,99.50166666666667,
3054,99.055,99.055,
3057,99.61333333333333,99.61333333333333,
3060,99.55666666666667,99.50166666666667,
3063,99.725,99.725,
3066,99.55666666666667,99.55666666666667,
3069,99.50166666666667,99.50166666666667,
3072,99.38666666666667,99.38666666666667,
3075,99.055,99.055,
3078,99.61166666666666,99.61166666666666,
3081,99.55833333333334,99.55833333333334,
3084,99.16833333333334,99.16833333333334,
3087,99.5,99.445,
3090,99.39166666666667,99.39166666666667,
3093,99.38833333333334,99.38833333333334,
3096,99.27833333333334,99.27833333333334,
3099,98.89166666666667,98.89166666666667,
3102,99.55666666666667,99.55666666666667,
3105,99.445,99.445,
3108,99.28,99.28,
3111,99.555,99.44500000000001,
3114,99.66666666666667,99.66666666666667,
3117,99.725,99.725,
3120,98.88666666666667,98.88666666666667,
3123,99.00166666666667,99.00166666666667,
3126,99.445,99.445,
3129,99.445,99.445,
3132,99.38833333333334,99.38833333333334,
3135,99.17,99.115,
3138,99.89,99.89,
3141,99.66666666666667,99.66666666666667,
3144,98.89,98.89,
3147,99.38833333333334,99.38833333333334,
3150,99.55833333333334,99.55833333333334,
3153,99.725,99.725,
3156,99.335,99.335,
3159,99.33666666666667,99.28166666666667,
3162,99.77666666666667,99.77666666666667,
3165,99.67,99.67,
3168,99.27666666666667,99.27666666666667,
3171,99.67,99.67,
3174,99.16666666666667,99.16666666666667,
3177,99.22333333333333,99.22333333333333,
3180,99.50166666666667,99.50166666666667,
3183,99.555,99.5,
3186,99.50166666666667,99.50166666666667,
3189,99.835,99.835,
3192,99.72333333333333,99.72333333333333,
3195,99.39,99.39,
3198,99.50166666666667,99.50166666666667,
3201,99.50333333333333,99.50333333333333,
3204,96.55,94.82166666666666,
3207,98.945,98.945,
3210,99.33333333333333,99.22166666666666,
3213,99.55833333333334,99.55833333333334,
3216,99.33166666666666,99.33166666666666,
3219,99.555,99.555,
3222,99.11166666666666,99.11166666666666,
3225,99.05666666666667,99.05666666666667,
3228,99.61333333333333,99.61333333333333,
3231,99.22166666666666,99.22166666666666,
3234,99.38666666666667,99.33166666666666,
3237,99.72333333333333,99.72333333333333,
3240,99.5,99.5,
3243,99.11166666666666,99.11166666666666,
3246,99.555,99.555,
3249,99.44333333333333,99.44333333333333,
3252,99.66833333333334,99.66833333333334,
3255,99.5,99.5,
3258,99.61333333333333,99.55666666666666,
3261,99.555,99.555,
3264,99.55833333333334,99.55833333333334,
3267,99.72333333333333,99.72333333333333,
3270,99.50166666666667,99.50166666666667,
3273,99.335,99.335,
3276,99.39166666666667,99.39166666666667,
3279,98.94666666666667,98.94666666666667,
3282,99.44333333333333,99.44333333333333,
3285,99.61333333333333,99.61333333333333,
3288,99.61166666666666,99.61166666666666,
3291,99.61166666666666,99.61166666666666,
3294,99.22333333333333,99.22333333333333,
3297,99.39,99.39,
3300,99.445,99.445,
3303,99.61166666666666,99.61166666666666,
3306,99.725,99.66999999999999,
3309,99.61166666666666,99.61166666666666,
3312,99.61166666666666,99.61166666666666,
3315,99.11166666666666,99.11166666666666,
3318,99.22333333333333,99.22333333333333,
3321,98.94333333333333,98.94333333333333,
3324,99.33666666666667,99.33666666666667,
