seconds,utilization (KB),
1920,3779144,
1923,3335404,
1926,634048,
1929,1018508,
1932,1055372,
1935,1272728,
1938,1482844,
1941,1567308,
1944,1638872,
1947,1269244,
1950,1479272,
1953,1603368,
1956,1689768,
1959,1775016,
1962,1857868,
1965,2037596,
1968,1786040,
1971,1871884,
1974,1959180,
1977,2044136,
1980,2129032,
1983,2214840,
1986,2238088,
1989,2307600,
1992,2354680,
1995,2421000,
1998,2507400,
2001,2781592,
2004,2537012,
2007,2599880,
2010,2672196,
2013,2740784,
2016,2826468,
2019,3156564,
2022,2920368,
2025,3005912,
2028,3074004,
2031,3125556,
2034,3194020,
2037,3510604,
2040,3256952,
2043,3333252,
2046,3422044,
2049,3488936,
2052,3560124,
2055,3823516,
2058,3637684,
2061,3679932,
2064,3719416,
2067,3776852,
2070,3852820,
2073,3902656,
2076,3821352,
2079,3863864,
2082,3905932,
2085,3964964,
2088,4041772,
2091,4368924,
2094,4159764,
2097,4219496,
2100,4292060,
2103,4363140,
2106,4426472,
2109,4758252,
2112,4527680,
2115,4594948,
2118,4648796,
2121,4705564,
2124,4771300,
2127,4925572,
2130,4707088,
2133,4771448,
2136,4832256,
2139,4880544,
2142,5190876,
2145,5039260,
2148,5083112,
2151,5131852,
2154,5204072,
2157,5277912,
2160,5574304,
2163,5213988,
2166,5261392,
2169,5330396,
2172,5390984,
2175,5459548,
2178,5716096,
2181,5476476,
2184,5539000,
2187,5606884,
2190,5668504,
2193,5913564,
2196,5740704,
2199,5795180,
2202,5844204,
2205,5913768,
2208,5966276,
2211,6297432,
2214,6094508,
2217,6149644,
2220,6201412,
2223,6257364,
2226,6349468,
2229,6285624,
2232,6339084,
2235,6396616,
2238,6451624,
2241,6511692,
2244,6834716,
2247,6523008,
2250,6564316,
2253,6611012,
2256,6666028,
2259,6729744,
2262,7045640,
2265,6745332,
2268,6822056,
2271,6879728,
2274,6960620,
2277,7033744,
2280,7361156,
2283,7098156,
2286,7173380,
2289,7233536,
2292,7299248,
2295,7375944,
2298,7414972,
2301,7364616,
2304,7434792,
2307,7487440,
2310,7551472,
2313,7610608,
2316,7589184,
2319,7527704,
2322,7587892,
2325,7667264,
2328,7751612,
2331,7822188,
2334,7824280,
2337,7881276,
2340,7951216,
2343,8002036,
2346,8062196,
2349,8392824,
2352,8144360,
2355,8201840,
2358,8247292,
2361,8308668,
2364,8376436,
2367,8668156,
2370,8317720,
2373,8376980,
2376,8433120,
2379,8498660,
2382,8583060,
2385,8831444,
2388,8650360,
2391,8695804,
2394,8739644,
2397,8798408,
2400,8871700,
2403,9183392,
2406,8823260,
2409,8901064,
2412,8974284,
2415,9046204,
2418,9286152,
2421,9109828,
2424,9178032,
2427,9247872,
2430,9297240,
2433,9352224,
2436,9278776,
2439,9340116,
2442,9389108,
2445,9443520,
2448,9686736,
2451,9542568,
2454,9598244,
2457,9663688,
2460,9718984,
2463,9960924,
2466,9845032,
2469,9906420,
2472,9966560,
2475,10016204,
2478,10165532,
2481,10092912,
2484,10150996,
2487,10213752,
2490,10480340,
2493,10204688,
2496,10262904,
2499,10332420,
2502,10388460,
2505,10449980,
2508,10607200,
2511,10532812,
2514,10600872,
2517,10671304,
2520,10744996,
2523,10778864,
2526,10836708,
2529,10903988,
2532,10966096,
2535,11230116,
2538,10918824,
2541,10974336,
2544,11023060,
2547,11080576,
2550,11297968,
2553,11153692,
2556,11201864,
2559,11253552,
2562,11307980,
2565,11476272,
2568,11389920,
2571,11454020,
2574,11504836,
2577,11568308,
2580,11763048,
2583,11620444,
2586,11667236,
2589,11732032,
2592,11813388,
2595,11835744,
2598,11838852,
2601,11904820,
2604,11971388,
2607,12186064,
2610,11991532,
2613,12054108,
2616,12120236,
2619,12197688,
2622,12348380,
2625,12164572,
2628,12246916,
2631,12330948,
2634,12411636,
2637,12685888,
2640,12436032,
2643,12485408,
2646,12539336,
2649,12612680,
2652,12799768,
2655,12669136,
2658,12714008,
2661,12767784,
2664,12939900,
2667,12859648,
2670,12921836,
2673,12981588,
2676,13032144,
2679,12949852,
2682,12996560,
2685,13059932,
2688,13133488,
2691,13199364,
2694,13282280,
2697,13289924,
2700,13346536,
2703,13418260,
2706,13485360,
2709,13661440,
2712,13509668,
2715,13577896,
2718,13639336,
2721,13905248,
2724,13672288,
2727,13736108,
2730,13802604,
2733,13873040,
2736,13905120,
2739,13883800,
2742,13931416,
2745,13975736,
2748,14033296,
2751,14041188,
2754,14085288,
2757,14140000,
2760,14211784,
2763,14266188,
2766,14263152,
2769,14312540,
2772,14358424,
2775,14423688,
2778,14686188,
2781,14419620,
2784,14478912,
2787,14549612,
2790,14629168,
2793,14923740,
2796,14688004,
2799,14732052,
2802,14785052,
2805,14981048,
2808,15056508,
2811,14898116,
2814,14946620,
2817,14998724,
2820,15140820,
2823,15229380,
2826,15090668,
2829,15163204,
2832,15239436,
2835,15275704,
2838,15262816,
2841,15318336,
2844,15378772,
2847,15440852,
2850,15722756,
2853,15572876,
2856,15627492,
2859,15678340,
2862,15897860,
2865,15749896,
2868,15800508,
2871,15860768,
2874,15923760,
2877,16181600,
2880,15915872,
2883,15959428,
2886,16001616,
2889,16045212,
2892,16174188,
2895,16163840,
2898,16215276,
2901,16257120,
2904,16303148,
2907,16571868,
2910,16424076,
2913,16473708,
2916,16528536,
2919,16584448,
2922,16643176,
2925,16638628,
2928,16706700,
2931,16762908,
2934,16822340,
2937,16857512,
2940,16841992,
2943,16903912,
2946,16965792,
2949,17020372,
2952,17147136,
2955,17068900,
2958,17134112,
2961,17194660,
2964,17456936,
2967,17200952,
2970,17252940,
2973,17300448,
2976,17356724,
2979,17628488,
2982,17457348,
2985,17514884,
2988,17583940,
2991,17639888,
2994,17846380,
2997,17706848,
3000,17758800,
3003,17814188,
3006,17861496,
3009,18164612,
3012,17920676,
3015,17965316,
3018,18014148,
3021,18076856,
3024,18349320,
3027,18039552,
3030,18108144,
3033,18183220,
3036,18256372,
3039,18493176,
3042,18266696,
3045,18324492,
3048,18380084,
3051,18449548,
3054,18676380,
3057,18420220,
3060,18484464,
3063,18539820,
3066,18602596,
3069,18714704,
3072,18722664,
3075,18779308,
3078,18834576,
3081,18894876,
3084,19091368,
3087,18949932,
3090,18999468,
3093,19060120,
3096,19114472,
3099,19254780,
3102,19093680,
3105,19151692,
3108,19203072,
3111,19475384,
3114,19356044,
3117,19417340,
3120,19485940,
3123,19554400,
3126,19686908,
3129,19689076,
3132,19629032,
3135,19689044,
3138,19736908,
3141,19780556,
3144,19766288,
3147,19764120,
3150,19815412,
3153,19861616,
3156,19921512,
3159,19961852,
3162,20017212,
3165,20090336,
3168,20159412,
3171,20222052,
3174,20453192,
3177,20324068,
3180,20386184,
3183,20453932,
3186,20519012,
3189,20799076,
3192,20706044,
3195,20531288,
3198,20585812,
3201,20640552,
3204,20722996,
3207,20656504,
3210,20726144,
3213,20801704,
3216,20860712,
3219,20879312,
3222,20944124,
3225,20994428,
3228,21061400,
3231,21211172,
3234,21105708,
3237,21165400,
3240,21227828,
3243,21282200,
3246,21384456,
3249,21348236,
3252,21392996,
3255,21436552,
3258,21688884,
3261,21492232,
3264,21555600,
3267,21606596,
3270,21670916,
3273,21746240,
3276,21722660,
3279,21722244,
3282,21781780,
3285,21844272,
3288,22099632,
3291,21843380,
3294,21893100,
3297,21955132,
3300,22036428,
3303,22115324,
