procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0            0      1709588        21620      1979056    0    0     0     0 1109 1925   1   1  98   0   0 2019-03-27 05:59:22
 0  0            0      1709260        21628      1979060    0    0     0   128 4693 1914   1   1  98   0   0 2019-03-27 05:59:25
 1  0            0      1709280        21636      1979060    0    0     0    21 1236 1902   1   1  98   0   0 2019-03-27 05:59:28
 0  0            0      1709292        21636      1979060    0    0     0     0 1110 1939   1   1  98   0   0 2019-03-27 05:59:31
 0  0            0      1709624        21644      1979072    0    0     0     9 1273 1910   1   1  98   0   0 2019-03-27 05:59:34
 0  0            0      1709616        21644      1979076    0    0     0     0 1101 1923   1   1  99   0   0 2019-03-27 05:59:37
 0  0            0      1709160        21652      1979080    0    0     0     9 1240 1915   1   1  98   0   0 2019-03-27 05:59:40
 0  0            0      1711820        21652      1979088    0    0     5     3 1129 1955   1   1  98   0   0 2019-03-27 05:59:43
 0  0            0      1711652        21660      1979056    0    0     0   207 7153 1938   1   1  97   1   0 2019-03-27 05:59:46
 0  0            0      1712232        21668      1979060    0    0     0    23 1296 1913   1   1  98   0   0 2019-03-27 05:59:49
 1  0            0      1712336        21668      1979072    0    0     0    35 2617 1902   1   1  98   0   0 2019-03-27 05:59:52
 0  0            0      1712124        21676      1979076    0    0     0     7 1294 1946   1   1  98   0   0 2019-03-27 05:59:55
 1  0            0      1712368        21676      1979076    0    0     0     0 1103 1914   1   1  99   0   0 2019-03-27 05:59:58
 0  0            0      1712344        21684      1979076    0    0     0     9 1237 1896   1   1  98   0   0 2019-03-27 06:00:01
 1  0            0      1712212        21692      1979080    0    0     0    15 1413 1997   1   1  98   0   0 2019-03-27 06:00:04
 0  0            0      1712172        21692      1979084    0    0     0     0 1064 1878   1   0  99   0   0 2019-03-27 06:00:07
 0  0            0      1712856        21700      1979092    0    0     0     5 1337 1972   1   1  98   0   0 2019-03-27 06:00:10
 0  0            0      1712880        21700      1979096    0    0     0     3 1093 1912   1   1  98   0   0 2019-03-27 06:00:13
 1  0            0      1712824        21708      1979080    0    0     0     9 1228 1900   1   1  99   0   0 2019-03-27 06:00:16
 0  0            0      1712724        21716      1979052    0    0     0     8 1237 1962   1   1  98   0   0 2019-03-27 06:00:19
 0  0            0      1712684        21716      1979060    0    0     0   221 9759 1879   1   2  98   0   0 2019-03-27 06:00:22
 0  0            0      1712568        21724      1979064    0    0     0    23 1354 1930   1   1  98   0   0 2019-03-27 06:00:25
 0  0            0      1712304        21724      1979064    0    0     0     0 1142 1947   1   1  98   0   0 2019-03-27 06:00:28
 1  0            0      1712124        21732      1979076    0    0     0    13 1300 1914   1   1  99   0   0 2019-03-27 06:00:31
 0  0            0      1712192        21740      1979076    0    0     0     5 1226 1933   1   1  98   0   0 2019-03-27 06:00:34
 0  0            0      1712436        21740      1979080    0    0     0     1 1149 1917   1   1  98   0   0 2019-03-27 06:00:37
 0  0            0      1712164        21748      1979084    0    0     0   152 6092 1915   1   1  98   0   0 2019-03-27 06:00:40
 3  0            0      1709672        21760      1979096    0    0     4     0 2131 2405  10   3  87   0   0 2019-03-27 06:00:43
 1  0            0      1717832        22048      1983968    0    0  1657   355 9824 2564  11   7  81   1   0 2019-03-27 06:00:46
 2  0            0      3543468         3576       150932    0    0  1615   269 11239 2671   8   9  81   2   0 2019-03-27 06:00:49
 1  1            0      3496224         8144       172712    0    0  8189     0 4249 4223  13   7  74   5   0 2019-03-27 06:00:52
 4  0            0      3445060         9812       186632    0    0  4996   168 6612 5295  34   7  54   4   0 2019-03-27 06:00:55
 2  1            0      3406404        10932       188240    0    0   936    51 5595 3843  45   5  49   1   0 2019-03-27 06:00:58
 3  0            0      3367020        12328       190468    0    0  1199     0 6705 4484  58   6  34   1   0 2019-03-27 06:01:01
 4  0            0      3338228        13564       194240    0    0  1655   295 15743 4199  59   8  29   4   0 2019-03-27 06:01:04
 5  0            0      3258860        14096       201092    0    0  2443    44 6480 3800  49   6  42   2   0 2019-03-27 06:01:07
 5  0            0      3239640        14780       203644    0    0  1056     3 6330 3815  56   6  37   2   0 2019-03-27 06:01:10
 6  0            0      3184832        14988       206068    0    0   795   251 16540 3254  57   7  34   3   0 2019-03-27 06:01:13
 5  0            0      3165548        15236       215036    0    0  3020     9 6196 4114  47   6  45   2   0 2019-03-27 06:01:16
 6  0            0      3147436        15256       216652    0    0   432   376 15697 3550  62   6  32   0   0 2019-03-27 06:01:19
 6  0            0      3143436        15408       218012    0    0   377     3 6261 3239  63   5  32   0   0 2019-03-27 06:01:22
 5  0            0      3105604        15548       220228    0    0   663   156 6866 4768  43   6  51   1   0 2019-03-27 06:01:25
 7  0            0      3089276        16156       222492    0    0   847    76 6496 4188  54   5  39   1   0 2019-03-27 06:01:28
 4  0            0      3425712        18456       234720    0    0  2600  1933 6889 5516  46   7  45   1   0 2019-03-27 06:01:31
 1  0            0      3084816        18884       383984    0    0 47173    65 5178 3830  24   7  50  19   0 2019-03-27 06:01:34
 1  2            0      3104832        18884       438228    0    0 15591 55908 2503 2433   6   4  83   7   0 2019-03-27 06:01:37
 1  1            0      2994512        18900       546612    0    0 17881 19884 14569 2573  11   6  60  23   0 2019-03-27 06:01:40
 0  2            0      2895640        18908       640192    0    0 15555 16176 2566 2428  12   4  61  23   0 2019-03-27 06:01:43
 0  2            0      2790316        18908       742240    0    0 16977 15773 2313 2239  11   4  64  21   0 2019-03-27 06:01:46
 1  1            0      2689368        18916       840580    0    0 16143 16125 2291 2299   9   4  64  23   0 2019-03-27 06:01:49
 1  2            0      2583404        18916       942592    0    0 16957 16385 2230 2161  10   4  62  24   0 2019-03-27 06:01:52
 1  1            0      2753992        18924       774900    0    0 14297 14635 2912 2274   7   4  67  22   0 2019-03-27 06:01:55
 0  2            0      2653676        18924       875408    0    0 16533 16457 2133 2278   8   4  65  24   0 2019-03-27 06:01:58
 2  1            0      2550828        18932       977268    0    0 16979 16236 4456 2367   8   4  64  25   0 2019-03-27 06:02:01
 2  1            0      2453368        18940      1064144    0    0 14359 14716 24988 2376   9   7  56  28   0 2019-03-27 06:02:04
 2  2            0      2371684        18940      1153352    0    0 14757 14409 2121 2346   7   4  64  25   0 2019-03-27 06:02:07
 1  0            0      2302820        18952      1220008    0    0 10900 11815 2194 2324   8   3  68  20   0 2019-03-27 06:02:10
 0  1            0      2298476        18952      1223320    0    0   839    24 1835 2472   9   2  79  10   0 2019-03-27 06:02:13
 1  0            0      2293904        18960      1227028    0    0   959   213 8242 2552   6   3  79  11   0 2019-03-27 06:02:16
 0  1            0      2288528        18968      1230820    0    0   964    32 1917 2547   6   2  81  11   0 2019-03-27 06:02:19
 2  1            0      2284008        18968      1234508    0    0   939     0 1777 2498   8   2  80  11   0 2019-03-27 06:02:22
 3  0            0      2262780        18976      1238176    0    0   916   177 7694 2636  12   3  75  10   0 2019-03-27 06:02:25
 1  1            0      2266144        18976      1242304    0    0   988     3 1859 2505   9   2  78  11   0 2019-03-27 06:02:28
 2  0            0      2261380        18984      1245940    0    0   985    21 1920 2586   6   2  80  12   0 2019-03-27 06:02:31
 1  1            0      2257176        18984      1249696    0    0   959     1 1891 2585   9   2  77  12   0 2019-03-27 06:02:34
 2  1            0      2247872        18992      1253512    0    0   967    36 2636 2722  14   3  71  12   0 2019-03-27 06:02:37
 0  1            0      2242976        19004      1257180    0    0   925  2560 9680 2520   7   3  79  11   0 2019-03-27 06:02:40
 1  1            0      2227596        19004      1261076    0    0   980     3 2504 2697  17   2  70  11   0 2019-03-27 06:02:43
 1  1            0      2212936        19012      1265248    0    0  1053     9 3055 2956  21   2  65  12   0 2019-03-27 06:02:46
