procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0            0      2360072        46420      1404700    0    0     0 302208 6202 4937   2   3  96   0   0 2018-12-01 00:14:26
 0  0            0      2360040        46428      1404704    0    0     0 306393 6435 5168   1   2  97   0   0 2018-12-01 00:14:29
 0  0            0      2360072        46428      1404708    0    0     0 303957 6313 4939   2   3  96   0   0 2018-12-01 00:14:32
 0  0            0      2360072        46436      1404708    0    0     0 306657 7522 6184   1   2  96   0   0 2018-12-01 00:14:35
 1  0            0      2360344        46436      1404712    0    0     0 308011 6399 4986   1   3  96   0   0 2018-12-01 00:14:38
 0  0            0      2359644        46444      1404712    0    0     0 310236 6564 5064   2   3  96   0   0 2018-12-01 00:14:41
 0  0            0      2359584        46444      1404716    0    0     0 305633 7455 5038   1   2  96   0   0 2018-12-01 00:14:44
 0  0            0      2360148        46452      1404716    0    0     0 304867 7185 5149   2   3  96   0   0 2018-12-01 00:14:47
 1  0            0      2360256        46452      1404716    0    0     0 302433 6348 5055   1   3  96   0   0 2018-12-01 00:14:50
 0  0            0      2360396        46460      1404716    0    0     0 304047 6644 5016   2   3  96   0   0 2018-12-01 00:14:53
 0  0            0      2360688        46460      1404720    0    0     0 304427 6348 4965   2   2  96   0   0 2018-12-01 00:14:56
 0  0            0      2360708        46468      1404720    0    0     0 304260 6543 5111   1   2  96   0   0 2018-12-01 00:14:59
 0  0            0      2360560        46468      1404720    0    0     0 308011 6378 5062   2   3  96   0   0 2018-12-01 00:15:02
 0  0            0      2360576        46476      1404720    0    0     0 308281 6492 5239   1   2  96   0   0 2018-12-01 00:15:05
 1  0            0      2359892        46476      1404724    0    0     0 306176 6719 5024   2   3  96   0   0 2018-12-01 00:15:08
 0  0            0      2359768        46484      1404728    0    0     0 307332 6466 5085   2   3  96   0   0 2018-12-01 00:15:11
 0  0            0      2359784        46484      1404728    0    0     0 304939 6346 4946   1   2  96   0   0 2018-12-01 00:15:14
 1  0            0      2359908        46492      1404728    0    0     0 306223 6380 5078   2   2  96   0   0 2018-12-01 00:15:17
 1  0            0      2359808        46492      1404728    0    0     0 308873 6449 5043   1   2  96   0   0 2018-12-01 00:15:20
 0  0            0      2359760        46500      1404728    0    0     0 305633 7068 5875   2   3  96   0   0 2018-12-01 00:15:23
 0  0            0      2359948        46500      1404736    0    0     0 305084 6789 5348   2   3  96   0   0 2018-12-01 00:15:26
 1  0            0      2359668        46508      1404736    0    0     0 304857 6467 4963   1   3  96   0   0 2018-12-01 00:15:29
 0  0            0      2359692        46508      1404736    0    0     0 304811 6790 4957   1   2  96   0   0 2018-12-01 00:15:32
 0  0            0      2359520        46516      1404736    0    0     0 305572 8330 6869   1   2  97   0   0 2018-12-01 00:15:35
 0  0            0      2359744        46516      1404736    0    0     0 304085 6429 4945   1   3  96   0   0 2018-12-01 00:15:38
 0  0            0      2360264        46524      1404744    0    0     0 305797 6185 5036   1   2  96   0   0 2018-12-01 00:15:41
 0  0            0      2360288        46524      1404744    0    0     0 308907 6273 5003   1   2  97   0   0 2018-12-01 00:15:44
 0  0            0      2360376        46532      1404748    0    0     0 304431 6331 5026   2   2  96   0   0 2018-12-01 00:15:47
 0  0            0      2360400        46532      1404748    0    0     0 306773 6336 5002   1   2  96   0   0 2018-12-01 00:15:50
 0  0            0      2359672        46540      1404748    0    0     0 303492 6384 5099   1   2  96   0   0 2018-12-01 00:15:53
 1  0            0      2359084        46540      1404748    0    0     0 304096 6518 5028   1   2  96   0   0 2018-12-01 00:15:56
 0  0            0      2358992        46548      1404756    0    0     0 304152 6662 5393   1   2  96   0   0 2018-12-01 00:15:59
 1  0            0      2359016        46564      1404760    0    0     0 304835 7394 6019   2   3  96   0   0 2018-12-01 00:16:02
 0  0            0      2359056        46564      1404764    0    0     0 304555 6222 4940   1   2  97   0   0 2018-12-01 00:16:05
 1  0            0      2359472        46572      1404768    0    0     0 303796 6474 5060   1   2  96   0   0 2018-12-01 00:16:08
 0  0            0      2359296        46572      1404768    0    0     0 305237 6305 4984   1   2  96   0   0 2018-12-01 00:16:11
 1  0            0      2359236        46580      1404772    0    0     0 303236 6288 5063   1   2  97   0   0 2018-12-01 00:16:14
 0  0            0      2359492        46580      1404772    0    0     0 305451 6389 5016   2   2  96   0   0 2018-12-01 00:16:17
