seconds,utilization (KB),
2955,19915644,
2958,19989020,
2961,20252076,
2964,20112492,
2967,19976148,
2970,20048860,
2973,20107332,
2976,20162228,
2979,20297896,
2982,20365420,
2985,20359760,
2988,20410480,
2991,20482604,
2994,20568132,
2997,20642972,
3000,20915024,
3003,18568380,
3006,18573268,
3009,18638456,
3012,18687516,
3015,18955368,
3018,18770828,
3021,18769284,
3024,18827508,
3027,18884684,
3030,19180012,
3033,18994940,
3036,18918296,
3039,18977176,
3042,19037756,
3045,19112484,
3048,19431536,
3051,19125776,
3054,19171400,
3057,19224836,
3060,19287764,
3063,19528188,
3066,19610208,
3069,19426760,
3072,19509356,
3075,19578080,
3078,19648468,
3081,19945528,
3084,19734544,
3087,19674292,
3090,19735360,
3093,19815300,
3096,19874744,
3099,19940748,
3102,20160132,
3105,19964032,
3108,20025904,
3111,20097516,
3114,20114496,
3117,20167080,
3120,20182800,
3123,20227904,
3126,20280644,
3129,20402316,
3132,20438092,
3135,20435012,
3138,20494560,
3141,20543880,
3144,20604352,
3147,20874364,
3150,20790512,
3153,20645152,
3156,20716352,
3159,20783960,
3162,20794608,
3165,20855388,
3168,20903184,
3171,20957084,
3174,21014372,
3177,21290028,
3180,21320016,
3183,21161492,
3186,21203736,
3189,21248020,
3192,21512424,
3195,21552320,
3198,21392308,
3201,21434508,
3204,21506208,
3207,21817196,
3210,21830216,
3213,21684788,
3216,21741504,
3219,21798336,
3222,21651300,
3225,21832780,
3228,21675072,
3231,21734836,
3234,21999932,
3237,21827984,
3240,21884156,
3243,21947472,
3246,21995424,
3249,22251192,
3252,22162952,
3255,22099796,
3258,22179172,
3261,22396504,
3264,22297012,
3267,22425344,
3270,22277704,
3273,22329412,
3276,22394928,
3279,22449492,
3282,22655408,
3285,22517328,
3288,22588384,
3291,22643000,
3294,22939880,
3297,22906340,
3300,22755084,
3303,22814008,
3306,23074692,
3309,23074708,
3312,22922104,
3315,22992208,
3318,23056644,
3321,23310376,
3324,23285716,
3327,23147140,
3330,23216668,
3333,23450116,
3336,23506248,
3339,23354456,
3342,23404072,
3345,23457380,
3348,23709056,
3351,23459596,
3354,23508808,
3357,23567956,
3360,23644680,
3363,23824636,
3366,23736160,
3369,23798288,
3372,23865412,
3375,23932928,
3378,24244932,
3381,24159808,
3384,24020704,
3387,24074800,
3390,24138636,
3393,24191880,
3396,24501952,
3399,24415128,
3402,24284580,
3405,24334232,
3408,24385824,
3411,24648980,
3414,24574264,
3417,24433824,
3420,24505884,
3423,24580280,
3426,24655840,
3429,24990528,
3432,24921276,
3435,24720824,
3438,24781228,
3441,24850500,
3444,24914324,
3447,25163468,
3450,24967280,
3453,24960848,
3456,25038324,
3459,25109944,
3462,25171256,
3465,25424280,
3468,25355892,
3471,25602304,
3474,25385652,
3477,25440000,
3480,25501168,
3483,25522276,
3486,25518068,
3489,25581520,
3492,25629764,
3495,25690636,
3498,25746132,
3501,26074412,
3504,25866808,
3507,26109600,
3510,25908292,
3513,25960228,
3516,26147408,
3519,26329788,
3522,26079064,
3525,26134984,
3528,26209392,
3531,26269840,
3534,26551356,
3537,26441028,
3540,26265940,
3543,26347816,
3546,26405716,
3549,26707828,
3552,26628220,
3555,26558116,
3558,26619384,
3561,26679208,
3564,26746396,
3567,27014428,
3570,26887148,
3573,26807184,
3576,26856456,
3579,27093404,
3582,27019872,
3585,26927576,
3588,26974180,
3591,27043288,
3594,27116992,
3597,27190228,
3600,27486816,
3603,27217244,
3606,27213336,
3609,27276828,
3612,27343696,
3615,27653416,
3618,27502784,
